Character,Dialogue
Recruiter,Do you understand Neural Networks?
Chandra,Yes.
Recruiter,Do you have experience with NLP?
Chandra,Yes.
Recruiter,Are you familiar with Data Structure and Algorithms?
Chandra,Yes.
Recruiter,Do you have a good grasp of OOPS Concepts?
Chandra,Yes.
Recruiter,Can you handle Multithreading in applications?
Chandra,Yes.
Recruiter,Have you worked with Webservices?
Chandra,Yes.
Recruiter,Are you experienced with SQLite?
Chandra,Yes.
Recruiter,Can you use PostgreSQL in database management?
Chandra,Yes.
Recruiter,Do you have experience with REST API development?
Chandra,Yes.
Recruiter,Are you proficient with Git for version control?
Chandra,Yes.
Recruiter,Have you used Jenkins for continuous integration?
Chandra,Yes.
Recruiter,Do you have experience with GCP?
Chandra,Yes.
Recruiter,Are you familiar with AWS services?
Chandra,Yes.
Recruiter,Can you work with Spring Boot for backend development?
Chandra,Yes.
Recruiter,Are you experienced with Visual Studio Code as an IDE?
Chandra,Yes.
Recruiter,Have you developed applications on the Salesforce platform?
Chandra,Yes.
Recruiter,Do you have experience with vlocity?
Chandra,Yes.
Recruiter,Can you operate in a Windows OS environment?
Chandra,Yes.
Recruiter,Are you comfortable using Linux/Unix systems?
Chandra,Yes.
Recruiter,Do you have proficiency with Microsoft suite applications?
Chandra,Yes.
Recruiter,Can you utilize PowerBI for data visualization?
Chandra,Yes.
Recruiter,Have you integrated systems using MuleSoft?
Chandra,Yes.
Recruiter,Do you have experience with Java?
Chandra,Yes.
Recruiter,Do you have experience with Python?
Chandra,Yes.
Recruiter,Do you have experience with SQL?
Chandra,Yes.
Recruiter,Do you have experience with SOQL?
Chandra,Yes.
Recruiter,Do you have experience with C++?
Chandra,Yes.
Recruiter,Do you have experience with Apex?
Chandra,Yes.
Recruiter,Do you have experience with R?
Chandra,Yes.
Recruiter,Do you have experience with Lightning Web Components?
Chandra,Yes.
Recruiter,Do you have experience with SLDS?
Chandra,Yes.
Recruiter,Do you have experience with ReactJS?
Chandra,Yes.
Recruiter,Do you have experience with NodeJS?
Chandra,Yes.
Recruiter,Do you have experience with ExpressJS?
Chandra,Yes.
Recruiter,Do you have experience with EJS?
Chandra,Yes.
Recruiter,Do you have experience with Machine Learning?
Chandra,Yes.
Recruiter,Do you have experience with Neural Networks?
Chandra,Yes.
Recruiter,Do you have experience with NLP?
Chandra,Yes.
Recruiter,Do you have experience with Data Structure and Algorithms?
Chandra,Yes.
Recruiter,Do you have experience with OOPS Concepts?
Chandra,Yes.
Recruiter,Do you have experience with Multithreading?
Chandra,Yes.
Recruiter,Do you have experience with Webservices?
Chandra,Yes.
Recruiter,Do you have experience with SQLite?
Chandra,Yes.
Recruiter,Do you have experience with PostgreSQL?
Chandra,Yes.
Recruiter,Do you have experience with REST API?
Chandra,Yes.
Recruiter,Do you have experience with Git?
Chandra,Yes.
Recruiter,Do you have experience with Jenkins?
Chandra,Yes.
Recruiter,Do you have experience with GCP?
Chandra,Yes.
Recruiter,Do you have experience with AWS?
Chandra,Yes.
Recruiter,Do you have experience with Spring Boot?
Chandra,Yes.
Recruiter,Do you have experience with Visual Studio Code?
Chandra,Yes.
Recruiter,Do you have experience with Salesforce?
Chandra,Yes.
Recruiter,Do you have experience with vlocity?
Chandra,Yes.
Recruiter,Do you have experience with OS - Windows?
Chandra,Yes.
Recruiter,Do you have experience with Linux/Unix?
Chandra,Yes.
Recruiter,Do you have experience with Microsoft suite?
Chandra,Yes.
Recruiter,Do you have experience with PowerBI?
Chandra,Yes.
Recruiter,Do you have experience with MuleSoft?
Chandra,Yes.
Recruiter,Do you have experience with HTML?
Chandra,Yes.
Recruiter,Do you have experience with CSS?
Chandra,Yes.
Recruiter,Do you have experience with JavaScript?
Chandra,Yes.
